,HBCU,INSTNM,Default_Rate,Repayment_Rate,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
1236,0.0,Western Kentucky University,0.13,0.07,15500.0,23211.0,0.9695,0.3745,0.7658,38156.0
1002,0.0,Hanover College,0.07,0.12000000000000001,19500.0,55210.0,0.7411,0.6786,0.779,42876.0
2776,0.0,Marywood University,0.055,0.07500000000000001,24521.0,50781.0,0.8076,0.6629,0.8252,47000.0
203,0.0,California State University-Long Beach,0.03,0.19,12000.0,18983.0,0.3995,0.7041,0.8544,50062.0
2754,0.0,Kutztown University of Pennsylvania,0.1,0.07,20969.0,27730.0,0.9614,0.5009,0.7929,43309.0
1799,0.0,Montana Technological University,0.12000000000000001,0.12000000000000001,11737.0,21971.0,0.8947,0.42,0.7196,48356.0
620,1.0,Florida Agricultural and Mechanical University,0.11499999999999999,0.035,18595.0,23985.0,0.3293,0.5903,0.8982,36153.0
2209,0.0,SUNY Oneonta,0.04,0.13,16641.0,26506.0,0.7253,0.6553,0.7247,49723.0
1764,0.0,University of Health Sciences and Pharmacy in St. Louis,0.1,0.245,14000.0,52232.0,0.9158,0.5429,0.7013,116360.0
783,0.0,Oglethorpe University,0.14500000000000002,0.1,17000.0,57647.0,0.7099,0.5259,0.7624,42691.0
703,0.0,Southeastern University,0.11499999999999999,0.095,13765.0,42569.0,0.6086,0.391,0.6674,36314.0
2264,0.0,Brevard College,0.14500000000000002,0.1,12000.0,44388.0,0.3989,0.2828,0.6852,34401.0
2910,0.0,Salve Regina University,0.05,0.12000000000000001,27000.0,64895.0,0.6953,0.7105,0.8238,55027.0
4295,0.0,The King's University,0.2,0.2,18500.0,27335.0,0.9375,0.5,0.875,30883.0
1087,0.0,Luther College,0.05,0.16999999999999998,23838.0,61175.0,0.7532,0.5446,0.8115,49541.0
2873,0.0,Thomas Jefferson University,0.06,0.13,18313.0,60556.0,0.8885,0.5924,0.817,64335.0
1181,0.0,Bellarmine University,0.07500000000000001,0.135,20450.0,58078.0,0.8778,0.5256,0.8105,49819.0
893,0.0,Illinois Institute of Technology,0.035,0.175,21500.0,67233.0,0.6144,0.7447,0.8471,70803.0
2138,0.0,New York University,0.04,0.22,19206.0,76563.0,0.1246,0.8576,0.9467,64543.0
1943,0.0,Saint Elizabeth University,0.14500000000000002,0.1,15000.0,50509.0,0.7192,0.4615,0.7383,49479.0
796,0.0,Truett McConnell University,0.14500000000000002,0.14500000000000002,14375.0,35484.0,0.8083,0.3766,0.6904,39193.0
798,0.0,Valdosta State University,0.11,0.05,15039.0,20694.0,0.8947,0.3909,0.5906,39416.0
1261,0.0,Louisiana Christian University,0.16999999999999998,0.07,10250.0,28160.0,0.7461,0.3806,0.5538,40615.0
3309,0.0,William & Mary,0.02,0.195,15000.0,40624.0,0.335,0.8438,0.9536,62959.0
2671,0.0,Warner Pacific University,0.07,0.07,22063.0,32178.0,0.7225,0.5227,0.8438,45660.0
2069,0.0,Fashion Institute of Technology,0.06,0.12,12000.0,29186.0,0.528,0.7766,0.8848,50102.0
1616,0.0,University of Minnesota-Crookston,0.07,0.12000000000000001,12500.0,24301.0,0.5722,0.5085,0.7117,51905.0
4369,0.0,Pennsylvania College of Health Sciences,0.05,0.12000000000000001,14875.0,38576.0,0.457,0.5882,0.7241,69019.0
181,0.0,Biola University,0.03,0.18,20500.0,57785.0,0.5663,0.6395,0.8432,45752.0
1837,0.0,York University,0.2,0.2,16025.0,31500.0,0.5729,0.4286,0.6455,36447.0
1123,0.0,Bethel College-North Newton,0.14500000000000002,0.1,13125.0,46600.0,0.9715,0.3,0.75,40808.0
602,1.0,Bethune-Cookman University,0.27,0.05,24000.0,29551.0,0.8497,0.3142,0.5136,28282.0
802,0.0,Chaminade University of Honolulu,0.07,0.12000000000000001,20114.0,41667.0,0.9341,0.5909,0.7097,48660.0
1603,0.0,Hamline University,0.04,0.12,17125.0,55979.0,0.8055,0.6,0.7495,47139.0
4950,0.0,Herzing University-Brookfield,0.155,0.035,11122.0,27517.0,0.9508,0.5833,0.8462,35295.0
1634,0.0,College of Saint Benedict,0.05,0.16999999999999998,23592.0,64561.0,0.878,0.6963,0.8895,54567.0
173,0.0,Art Center College of Design,0.1,0.14500000000000002,28250.0,70276.0,0.7097,0.8261,0.8587,53562.0
1350,0.0,Maryland Institute College of Art,0.07,0.16999999999999998,19500.0,69047.0,0.7958,0.6875,0.8544,33451.0
3260,0.0,Wayland Baptist University,0.095,0.055,16616.0,34453.0,0.6972,0.1154,0.385,44159.0
82,0.0,Grand Canyon University,0.1,0.06,12500.0,31440.0,0.7787,0.4002,0.702,47280.0
686,0.0,Ringling College of Art and Design,0.07,0.12000000000000001,27000.0,73962.0,0.647,0.7213,0.8392,39650.0
2474,0.0,Kent State University at Kent,0.11,0.08,19000.0,27976.0,0.8802,0.5599,0.7767,40179.0
5457,0.0,Kennesaw State University,0.08,0.09,16958.0,24808.0,0.6785,0.4409,0.7455,47863.0
1688,0.0,University of Southern Mississippi,0.1,0.05,15000.0,24425.0,0.9884,0.4319,0.6963,37710.0
2758,0.0,Lafayette College,0.1,0.245,14000.0,75934.0,0.3363,0.8889,0.899,80614.0
2017,0.0,Canisius University,0.06,0.12,19500.0,40718.0,0.7773,0.5475,0.7832,46089.0
205,0.0,California State University-Northridge,0.05,0.14,11075.0,19585.0,0.9123,0.5306,0.747,44372.0
3456,1.0,Bluefield State University,0.14500000000000002,0.1,12562.0,18445.0,0.9717,0.3613,0.578,35030.0
1476,0.0,Tufts University,0.035,0.235,13000.0,81614.0,0.0969,0.9231,0.9605,68337.0
2197,0.0,University at Albany,0.06,0.12,16707.0,27368.0,0.679,0.6433,0.8284,51380.0
3313,0.0,Christopher Newport University,0.035,0.135,21500.0,31162.0,0.8535,0.6993,0.8577,51931.0
2049,0.0,CUNY Hunter College,0.05,0.12,8250.0,13345.0,0.4786,0.5648,0.802,50414.0
3237,0.0,The University of Texas at El Paso,0.1,0.08,13096.0,19344.0,0.9992,0.4581,0.753,37978.0
852,0.0,University of Chicago,0.02,0.275,11000.0,84126.0,0.0543,0.9212,0.9898,80870.0
2238,0.0,Villa Maria College,0.29500000000000004,0.2,10250.0,32007.0,0.782,0.25,0.6154,33635.0
481,0.0,Adams State University,0.135,0.07500000000000001,12640.0,22772.0,0.9918,0.2819,0.568,38338.0
3927,0.0,Everglades University,0.14500000000000002,0.1,18599.0,38573.0,0.7035,0.5371,0.7461,38557.0
1642,0.0,University of St Thomas,0.03,0.17,21000.0,62028.0,0.77,0.713,0.8562,62412.0
2640,0.0,Lewis & Clark College,0.02,0.155,15500.0,73969.0,0.6859,0.766,0.8612,43608.0
1622,0.0,University of Minnesota-Morris,0.05,0.27,12000.0,25262.0,0.7766,0.5349,0.7172,43163.0
636,0.0,Florida State University,0.05,0.12,16229.0,23308.0,0.2504,0.8314,0.9393,49814.0
2557,0.0,University of Toledo,0.11,0.09,16250.0,25294.0,0.9223,0.4213,0.7522,44162.0
2370,0.0,Wingate University,0.07500000000000001,0.095,12294.0,55125.0,0.8615,0.5674,0.6891,43992.0
536,0.0,Central Connecticut State University,0.08,0.12,18500.0,22904.0,0.7671,0.4672,0.7653,49016.0
2607,0.0,Oklahoma City University,0.055,0.11499999999999999,15397.0,46239.0,0.7039,0.6286,0.7727,42312.0
2201,0.0,SUNY College of Environmental Science and Forestry,0.05,0.22,13500.0,28191.0,0.6951,0.6286,0.7917,48327.0
3262,0.0,West Texas A & M University,0.1,0.09,13918.0,22672.0,0.9163,0.3939,0.6809,44399.0
133,0.0,John Brown University,0.05,0.16999999999999998,17250.0,42128.0,0.5664,0.6207,0.8445,46114.0
2177,0.0,St. Thomas Aquinas College,0.07,0.12000000000000001,18000.0,52230.0,0.8861,0.495,0.7124,44908.0
1553,0.0,Northern Michigan University,0.11,0.1,15250.0,25294.0,0.7055,0.4029,0.7328,37996.0
2989,0.0,South Dakota School of Mines and Technology,0.05,0.22,22375.0,25988.0,0.8269,0.4947,0.8282,62863.0
2183,0.0,Skidmore College,0.1,0.245,13500.0,79250.0,0.2554,0.8876,0.8759,46923.0
2767,0.0,Lehigh University,0.035,0.295,16957.0,74573.0,0.3698,0.9071,0.9085,88810.0
215,0.0,University of California-Santa Cruz,0.05,0.22,15000.0,37707.0,0.4692,0.772,0.8797,49716.0
1091,0.0,Morningside University,0.05,0.12000000000000001,17313.0,48778.0,0.7061,0.4128,0.6459,47687.0
3503,0.0,Edgewood College,0.035,0.135,21250.0,47807.0,0.9862,0.5618,0.7589,53843.0
885,0.0,University of Illinois Chicago,0.04,0.19,13129.0,24375.0,0.7869,0.5825,0.7832,53218.0
2895,0.0,Wilson College,0.14500000000000002,0.1,25000.0,37890.0,0.9405,0.3636,0.6912,37049.0
3156,0.0,University of the Incarnate Word,0.08,0.07,23000.0,45505.0,0.942,0.4592,0.6999,47625.0
2780,0.0,Messiah University,0.035,0.215,24188.0,52125.0,0.7941,0.7054,0.86,50192.0
2785,0.0,Moore College of Art and Design,0.14500000000000002,0.1,22875.0,64551.0,0.5318,0.6364,0.732,30512.0
222,0.0,California State University Maritime Academy,0.1,0.245,18744.0,27186.0,0.955,0.625,0.7282,84676.0
2055,0.0,CUNY New York City College of Technology,0.07,0.12000000000000001,6699.0,13725.0,0.818,0.2324,0.6143,39982.0
886,0.0,Benedictine University,0.07,0.11,19460.0,46422.0,0.9312,0.5,0.674,50222.0
1581,0.0,Western Michigan University,0.09,0.09,23790.0,27150.0,0.8455,0.4395,0.7652,45356.0
3371,0.0,Sweet Briar College,0.1,0.14500000000000002,23403.0,40846.0,0.7575,0.5472,0.6215,35533.0
2752,0.0,King's College,0.07500000000000001,0.07500000000000001,21888.0,55232.0,0.9599,0.549,0.777,51734.0
1771,0.0,Stephens College,0.1,0.1,23250.0,41891.0,0.6415,0.3548,0.6263,36778.0
208,0.0,University of California-Davis,0.03,0.29,11000.0,36975.0,0.3734,0.8144,0.919,58461.0
37,0.0,University of North Alabama,0.135,0.055,17500.0,21621.0,0.9568,0.3914,0.7635,38295.0
5479,0.0,Arizona College of Nursing-Las Vegas,0.245,0.1,9500.0,33698.0,1.0,1.0,0.6,32840.0
1066,0.0,Graceland University-Lamoni,0.12000000000000001,0.12000000000000001,15000.0,46380.0,0.7449,0.3492,0.6129,40792.0
442,0.0,Saint Mary's College of California,0.055,0.175,22593.0,71268.0,0.8789,0.7895,0.8602,60388.0
977,0.0,Trinity International University-Illinois,0.07,0.07,20500.0,46333.0,0.9126,0.3934,0.7143,41545.0
2846,0.0,Robert Morris University,0.08,0.11,23500.0,48084.0,0.9377,0.5976,0.8152,54449.0
2173,0.0,St. Francis College,0.12000000000000001,0.07,12500.0,35647.0,0.8427,0.5526,0.7034,43378.0
1477,0.0,Wellesley College,0.1,0.445,6400.0,81090.0,0.1357,0.9211,0.9502,65961.0
2405,0.0,Ashland University,0.05,0.1,20500.0,36822.0,0.7176,0.5152,0.7025,47722.0
1381,0.0,Bay Path University,0.07500000000000001,0.055,19347.0,46775.0,0.7563,0.4674,0.6975,51548.0
2419,0.0,Capital University,0.055,0.07500000000000001,21500.0,53060.0,0.7215,0.4536,0.782,45767.0
